SpeciesId,CU,CU_Name,BroodYear,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total ER,Age2,Age3,Age4,Age5,Age6,Age7
CM,CM_13,Rivers Inlet,2004,107695.1066,NA,27454.87947,2694.260266,384.8779013,0,0,30534.01763,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2005,109106.2256,NA,2578.204949,3698.608788,169.0133868,0,0,6445.827124,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2006,53056.49006,NA,3539.291138,1624.188855,861.3182212,0,NA,6024.798214,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2007,59131.76711,NA,1554.226886,8277.116279,449.5489476,NA,0,10280.89211,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2008,5552.885956,NA,7920.579325,4320.086143,NA,0,NA,12240.66547,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2009,7622.854056,NA,4133.998344,NA,422.38276,NA,NA,4556.381104,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2010,3347.462603,NA,NA,4059.023869,NA,NA,NA,4059.023869,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2011,17059.18442,NA,3884.181332,NA,NA,NA,NA,3884.181332,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2012,8903.722472,NA,NA,NA,NA,NA,NA,NA,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2014,8365.671619,NA,NA,NA,NA,NA,NA,NA,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2016,645.6693283,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2017,9263.656025,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2018,5444.419661,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_13,Rivers Inlet,2019,7049.09072,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1954,424881.1881,NA,106804.2622,300022.9029,31464.28745,320.7094012,0,438612.1619,0.373647219,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1955,278083.2972,NA,70339.76987,251546.4079,15749.06113,417.7755331,0,338053.0144,0.512951717,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1956,385516.0101,NA,58974.55251,125908.4529,20515.683,1038.122723,0,206436.8111,0.3626334,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1957,317880.8155,NA,29518.9851,164015.9934,50979.04261,851.9244108,0,245365.9455,0.487720388,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1958,273972.5807,NA,38453.2218,407560.3194,41835.41104,817.9462906,0,488666.8985,0.329594614,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1959,245558.9222,NA,95551.70221,334460.0568,40166.84913,412.1242741,0,470590.7324,0.283324758,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1960,105833.9363,NA,78413.49176,321120.4648,20238.16689,1836.880356,0,421609.0038,0.382900969,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1961,130231.0217,NA,75286.05109,161797.3453,90203.59523,565.4184968,0,327852.4102,0.417074502,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1962,318072.5817,NA,37933.0642,721147.4403,27765.97891,1478.161612,0,788324.645,0.427046808,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1963,288330.4557,NA,169071.5759,221979.6735,72588.01112,1281.457403,0,464920.7179,0.367105878,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1964,260746.4952,NA,52042.69074,580316.7632,62928.46703,2295.184056,0,697583.105,0.403877795,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1965,92516.03891,NA,136054.1051,503091.9533,112709.493,980.2616306,0,752835.813,0.580211592,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1966,696001.3325,NA,117948.9028,901074.5318,48137.66072,1372.399455,0,1068533.495,0.291449502,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1967,196891.4889,NA,211255.1228,384844.4257,67394.35396,2081.82666,0,665575.7292,0.348823771,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1968,483675.7235,NA,90226.00634,538795.219,102232.1616,1030.969917,0,732284.3569,0.388109124,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1969,327165.6441,NA,126319.4621,817311.7876,50627.79009,429.8053952,0,994688.8452,0.522575036,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1970,588977.4856,NA,191617.1149,404752.1736,21106.43286,694.1672292,0,618169.8885,0.520130904,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1971,329936.4618,NA,94893.33803,168738.84,34088.43671,799.491941,0,298520.1067,0.370595396,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1972,420019.7977,NA,39560.48375,272525.5996,39260.61227,1161.759358,0,352508.455,0.427690663,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1973,553559.0359,NA,63893.08208,313875.4056,57050.46087,741.7484733,0,435560.697,0.502765808,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1974,300411.3178,NA,73587.46143,456099.2687,36425.00658,623.060136,0,566734.7969,0.455106153,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1975,138409.7921,NA,106931.5618,291205.6907,30596.58411,562.7184122,0,429296.5551,0.397805811,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1976,164483.9531,NA,68272.5921,244609.4111,27633.38599,761.734527,0,341277.1238,0.55690073,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1977,251422.4485,NA,57348.18749,220919.6376,37406.46076,431.8232418,0,316106.1091,0.411926557,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1978,290280.3679,NA,51794.16744,299052.0872,21205.52315,607.5400487,0,372659.3178,0.53275669,NA,0.17212,0.73415,0.09183,0.00187,0
CM,CM_15,Spiller-Fitz Hugh-Burke,1979,221603.8973,NA,70112.16406,169531.0337,29834.43993,715.8849083,0,270193.5226,0.44132101,NA,0.17212,0.73415,0.09183,0.00187,0
