"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CO","CO_26","Mussel-Kynoch",1980,674.4485875,NA,4547.24589,1357.859927,29.21708043,0,0,5934.322898,0.447373649,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1981,2263.250294,NA,8218.241129,935.2778332,22.03667934,0,0,9175.555641,0.40505452,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1982,2715.900352,NA,5660.627141,705.4235877,26.04788195,0,0,6392.09861,0.350644211,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1983,2715.900352,NA,4269.469204,833.82755,24.18143674,0,0,5127.478191,0.489692778,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1984,5431.800705,NA,5046.614698,774.0801418,37.32628063,0,0,5858.021121,0.435282469,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1985,3621.20047,NA,4685.002578,1194.86418,39.5696327,0,0,5919.436391,0.453419238,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1986,2489.575323,NA,7231.734111,1266.676882,49.62237793,0,0,8548.033371,0.501783957,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1987,3621.20047,NA,7666.369587,1588.478706,28.80053619,0,0,9283.648828,0.38691775,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1988,3394.87544,NA,9614.026287,921.9436946,22.75300143,0,0,10558.72298,0.38087216,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1989,5318.63819,NA,5579.924291,728.3540164,34.54331031,0,0,6342.821617,0.371617155,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1990,5191.896174,NA,4408.252144,1105.777577,23.13317284,0,0,5537.162894,0.421367838,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1991,7016.07591,NA,6692.550966,740.5238116,22.9513455,0,0,7456.026123,0.376472953,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
"CO","CO_26","Mussel-Kynoch",1992,3960.688014,NA,4481.907983,734.7032754,19.7482728,0,0,5236.359531,0.393530939,NA,0.85441,0.14117,0.00441,0,0,"CO-26"
