"","Yr","Area","River","Spawners","Returns","Recruits","Expl"
"328",2005,12,"ALLARDYCE CREEK",NA,NA,NA,0.00158566847902736
"329",2006,12,"ALLARDYCE CREEK",NA,NA,NA,5.56360213756606e-05
"330",2007,12,"ALLARDYCE CREEK",NA,NA,NA,0
"331",2008,12,"ALLARDYCE CREEK",NA,NA,NA,2.769197939731e-05
"332",2009,12,"ALLARDYCE CREEK",NA,NA,NA,5.19287752240718e-05
"333",2010,12,"ALLARDYCE CREEK",NA,NA,NA,0.00888074071042353
"334",2011,12,"ALLARDYCE CREEK",NA,NA,NA,0.0142797614832157
"335",2012,12,"ALLARDYCE CREEK",NA,NA,NA,7.68815624118097e-05
"336",2013,12,"ALLARDYCE CREEK",NA,NA,NA,0.0164482623776054
"337",2014,12,"ALLARDYCE CREEK",NA,NA,NA,0.0114891151557245
"338",2015,12,"ALLARDYCE CREEK",NA,NA,NA,0.0135595098287899
"339",2016,12,"ALLARDYCE CREEK",NA,NA,NA,0.00202795595384339
"340",2017,12,"ALLARDYCE CREEK",NA,NA,NA,0.00376400621171083
"341",1950,12,"BLIND CREEK",NA,NA,NA,NA
"342",1951,12,"BLIND CREEK",NA,NA,NA,NA
"343",1952,12,"BLIND CREEK",NA,NA,NA,NA
"344",1953,12,"BLIND CREEK",NA,NA,NA,NA
"345",1954,12,"BLIND CREEK",NA,NA,NA,NA
"346",1955,12,"BLIND CREEK",NA,NA,NA,NA
"347",1956,12,"BLIND CREEK",NA,NA,NA,NA
"348",1957,12,"BLIND CREEK",NA,NA,NA,NA
"349",1958,12,"BLIND CREEK",NA,NA,NA,NA
"350",1959,12,"BLIND CREEK",NA,NA,NA,NA
"351",1960,12,"BLIND CREEK",NA,NA,NA,NA
"352",1961,12,"BLIND CREEK",NA,NA,NA,NA
"353",1962,12,"BLIND CREEK",NA,NA,NA,NA
"354",1963,12,"BLIND CREEK",NA,NA,NA,NA
"355",1964,12,"BLIND CREEK",NA,NA,NA,NA
"356",1965,12,"BLIND CREEK",NA,NA,NA,NA
"357",1966,12,"BLIND CREEK",NA,NA,NA,NA
"358",1967,12,"BLIND CREEK",NA,NA,NA,NA
"359",1968,12,"BLIND CREEK",NA,NA,NA,NA
"360",1969,12,"BLIND CREEK",NA,NA,NA,NA
"361",1970,12,"BLIND CREEK",NA,NA,NA,NA
"362",1971,12,"BLIND CREEK",NA,NA,NA,NA
"363",1972,12,"BLIND CREEK",NA,NA,NA,NA
"364",1973,12,"BLIND CREEK",NA,NA,NA,NA
"365",1974,12,"BLIND CREEK",NA,NA,NA,NA
"366",1975,12,"BLIND CREEK",NA,NA,NA,NA
"367",1976,12,"BLIND CREEK",NA,NA,NA,NA
"368",1977,12,"BLIND CREEK",NA,NA,NA,NA
"369",1978,12,"BLIND CREEK",NA,NA,NA,NA
"370",1979,12,"BLIND CREEK",NA,NA,NA,NA
"371",1980,12,"BLIND CREEK",NA,NA,NA,NA
"372",1981,12,"BLIND CREEK",NA,NA,NA,NA
"373",1982,12,"BLIND CREEK",NA,NA,NA,NA
"374",1983,12,"BLIND CREEK",NA,NA,NA,0.866057834110302
"375",1984,12,"BLIND CREEK",NA,NA,NA,0.775693911882616
"376",1985,12,"BLIND CREEK",NA,NA,NA,0.804617873469269
"377",1986,12,"BLIND CREEK",NA,NA,NA,0.736636297568
"378",1987,12,"BLIND CREEK",NA,NA,NA,0.620278215303934
